Source_System,Primary_Label,CURIE,Formal_Label,Concept_Type,Hierarchy_Path,Synonyms,Description,Parent_IDs,Concept_ID,URI,Has_Translation,Status,Crosswalks,Extraction_Date,working_category,review_status
Getty Art & Architecture Thesaurus,Carmelite,AAT:300264417,Carmelite,skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders > Carmelite,Carmelites | Carmelite Order | Calced Carmelites | White Friars | Order of the Brothers of the Blessed Virgin Mary of Mount Carmel | Brothers of the Blessed Virgin Mary of Mt. Carmel | OCarm | Order of Our Lady of Mount Carmel | Friars of Blessed Mary of Mount Carmel,"A Roman Catholic religious order that originated in the 12th century from hermits on Mount Carmel who sought the way of life of the prophet Elijah. When the Crusades failed, the Carmelites migrated to Europe where they flourished as mendicant friars. Solitude, abstinence, and prayer are strictly practiced. In 1452 the friars were joined by Carmelite nuns (Sisters of the Blessed Virgin Mary of Mt. Carmel), the Carmelite Second Order. The Carmelites do not have a founding figure as do many orders, but they consider Elijah and Mary, both central to Carmelite consciousness, as their founders. Important reform figures are St. Teresa of Avila, reformer of the female order in 1562, and St. John of the Cross, who similarly reformed the male order later in the century. The reformed branch became its own order in 1593 and is referred to as the Discalced Carmelites.",300148033,300264417,http://vocab.getty.edu/aat/300264417,yes,active,http://vocab.getty.edu/aat/300264417 | http://www.wikidata.org/entity/Q186277,2026-03-12 16:23:00,identities,Human Reviewed
Getty Art & Architecture Thesaurus,Carthusian,AAT:300148065,Carthusian,skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders > Carthusian,Order of Carthusians | O.Cart. | OCart,"A Roman Catholic monastic order founded by St. Bruno of Cologne in Chartreuse (north of Grenoble, France) in 1084. The Carthusians combine the solitary existence of hermits with a communal life within the monastery. The monks or nuns live in individual cells and only come together at specific times of the day and at special feasts; strict abstinence is practiced. The Carthusians spread slowly, but, by 1521, the order numbered 195 houses in every Catholic European country. They played an important role in the monastic-reform movement of the 11th and 12th centuries; it is itself, however, the one form of communal religious life that has not experienced reform. Houses are found in many parts of Europe although membership is relatively small. A famous liqueur is made at 'La Grande Chartreuse,' the order's mother-house, with profits donated to charity.",300148033,300148065,http://vocab.getty.edu/aat/300148065,yes,active,http://vocab.getty.edu/aat/300148065 | http://www.wikidata.org/entity/Q220979,2026-03-12 16:23:00,identities,Human Reviewed
Getty Art & Architecture Thesaurus,Cistercian,AAT:300148071,Cistercian,skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders > Cistercian,White Monk | Bernardine,"A Roman Catholic order formed in 1098 by Benedictine monks and led by St. Robert of Molesme in Citeaux, France. Cistercians abide by a strict interpretation of St. Benedict's rule and emphasize solitude, poverty, uniformity, and especially manual labor. The order was prominent during the Middle Ages, particularly under the leadership of St. Bernard of Clairvaux (1090-1153), with over 500 houses in Europe by the 13th century, but declined thereafter. The Cistercian's emphasis on manual labor, particularly farm labor, meant that the order played an important role in the economic progress of the 12th century and in the development of farming and marketing techniques. Reform movements occurred during the 16th and 17th centuries and the order ultimately divided into the Order of the Reformed Cistercians of the Strict Observance (often popularly called the Trappists) and the Cistercians of Common Observance. Today, there is a great amount of diversity among the monasteries of both orders and there has been a revival of literary work in both. Strict Observance is active in France, England and Poland while Common Observance is active in the United States and parts of Western Europe.",300148033,300148071,http://vocab.getty.edu/aat/300148071,yes,active,http://vocab.getty.edu/aat/300148071 | http://www.wikidata.org/entity/Q166861,2026-03-12 16:23:00,identities,Human Reviewed
Getty Art & Architecture Thesaurus,Dominican (monastic order),AAT:300148084,Dominican (monastic order),skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders > Dominican (monastic order),Black Friars | Ordo Praedicatorum | Order of Friars Preachers | Order of Preachers (Dominicans) | Friars Preachers | Jacobins (Dominicans) | o.p. (Dominican) | OP (Dominican),"A Roman Catholic order founded by the Spanish St. Dominic in 1215 in southern France. The novelties of the new order were the obligation to pursue theological study and the mission to preach doctrine, a task previously regarded as the prerogative of bishops and their delegates alone. This mendicant order features a centralized government and organization and emphasizes missionary work and scholarship, thereby combining an active and a contemplative life. A member belongs to the order, not to any one autonomous house, and can be sent anywhere at any time. Famous Dominican scholars include Albertus Magnus and his pupil St. Thomas Aquinas. The system Aquinas developed was offically adopted by the order in 1278. There is an order of Dominican nuns that grew tremendously in the 19th and 20th centuries as well as a tertiary order of members not enclosed in a monastery. The order is noted for its continued orthodox following of Aquinas' teachings.",300148033,300148084,http://vocab.getty.edu/aat/300148084,yes,active,http://vocab.getty.edu/aat/300148084 | http://www.wikidata.org/entity/Q131479,2026-03-12 16:23:00,identities,Human Reviewed
Getty Art & Architecture Thesaurus,Franciscan,AAT:300148096,Franciscan,skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders > Franciscan,Franciscans,"Broad term for a Roman Catholic religious order comprising several divisions; founded by St. Francis of Assisi (1181-1226). The rule emphasizes the vow of poverty, theology, preaching, and aid to impoverished and sick people. Different schools of thought among followers developed over the years; St. Bonaventure (1257-1274) founded a moderate interpretation of St. Francis' rule that bridged many of the differences. The independent branches of the order are the First Order of Franciscans: the Observants, the Conventuals, and the Capuchins; the Second Order comprises nuns established by St. Clare under the guidance of St. Francis, known as the Poor Clares; and the Third Order comprising religious and lay men and women, including the Third Order Secular (living in the world without vows) and Third Order Regular (living in religious communities under vow).",300148033,300148096,http://vocab.getty.edu/aat/300148096,yes,active,http://vocab.getty.edu/aat/300148096 | http://www.wikidata.org/entity/Q165005,2026-03-12 16:23:00,identities,Human Reviewed
Getty Art & Architecture Thesaurus,Gilbertine,AAT:300265206,Gilbertine,skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders > Gilbertine,Order of Gilbertines | Gilbertine Order | Gilbertines,"Refers to the religious order founded ca. 1140 by Gilbert of Sempringham (ca. 1083-1189) in Lincolnshire, England. The only purely English monastic order, it included both men and women. Gilbert attempted to model his order on that of the Cistercians; when the Cistercians refused to accept communities of nuns under their aegis, Gilbert had his nuns instructed by priests following the Augustinian Rule. Until the dissolution the Gilbertines were popular and were favored by the Crown, as they did not owe allegiance to foreign superiors as did members of other orders.",300148033,300265206,http://vocab.getty.edu/aat/300265206,yes,active,http://vocab.getty.edu/aat/300265206 | http://www.wikidata.org/entity/Q770486,2026-03-12 16:23:00,identities,Human Reviewed
Getty Art & Architecture Thesaurus,Jesuit (Christian order),AAT:300148103,Jesuit (Christian order),skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders > Jesuit (Christian order),Society of Jesus | Societas Jesu | SJ (Christian order) | Jesuits,"A Roman Catholic order for men founded in 1540 by St. Ignatius of Loyola, a Spanish soldier who experienced a religious conversion while convalescing from a battle wound. It is a non-contemplative order requiring strict obedience, compliance with Ignatius' Spiritual Exercises, and special loyalty to the pope. The Jesuits abandoned many medieval practices including obligatory regular penances or fasts; a common dress; and the choral recitation of the liturgical office. Other innovations include their very centralized form of authority with life tenure for the head of the order; gradation of members; a probationary period of many years before final vows; and lack of a female branch. Jesuits carry out many kinds of missionary work with special emphasis on education; the order has founded many colleges and universities throughout the world. The Jesuits have been leading apologists for the Roman Catholic Church, particularly during the Counter-Reformation. In more recent times, the order has been highly influential in modernizing the Church.",300148033,300148103,http://vocab.getty.edu/aat/300148103,yes,active,http://vocab.getty.edu/aat/300148103 | http://www.wikidata.org/entity/Q36380,2026-03-12 16:23:00,identities,Human Reviewed
Getty Art & Architecture Thesaurus,Olivetan,AAT:300445672,Olivetan,skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders > Olivetan,Order of Our Lady of Mount Olivet,"Monastic order founded in 1313, abiding by the Rule of Saint Benedict.",300148033,300445672,http://vocab.getty.edu/aat/300445672,yes,active,,2026-03-12 16:23:00,identities,Human Reviewed
Getty Art & Architecture Thesaurus,Ursuline,AAT:300445693,Ursuline,skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders > Ursuline,,"Religious order of nuns, established under the rule of St. Augustine in 1572 from a company founded at Brescia in 1537, for the teaching of girls, nursing of the sick, and the sanctification of the lives of its members.",300148033,300445693,http://vocab.getty.edu/aat/300445693,yes,active,,2026-03-12 16:23:00,identities,Human Reviewed
Getty Art & Architecture Thesaurus,religious organizations,AAT:300250844,religious organizations,skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations,"religious organization | organization, religious","Organizations that support religious activities by providing places of worship or schools and the payment of salaries to religious leaders. Some religious organizations also establish doctrine, determine qualifications for membership, appoint religious leaders, discipline members regarding religious law, and other duties.",300025948,300250844,http://vocab.getty.edu/aat/300250844,yes,active,http://vocab.getty.edu/aat/300343472 | http://vocab.getty.edu/aat/300250844 | http://www.wikidata.org/entity/Q1530022,2026-03-12 16:23:00,communities,Human Reviewed
Getty Art & Architecture Thesaurus,shinshoku,AAT:300435350,shinshoku,skos:Concept,Agents Facet > People (hierarchy name) > people (agents) > <people by occupation> > <people in the humanities> > <people in religion and related occupations> > people in religion > clergy > Shinto clergy > shinshoku,kannushi,"Priests in the Shintō religion of Japan. The main function of the shinshoku is to officiate at all shrine ceremonies on behalf of and at the request of worshippers. He is not expected to lecture, preach, or act as spiritual leader to his parishioners; rather, his main role is to ensure the continuance of a satisfactory relationship between the kami (god or sacred power) and the worshipper through offerings, evocation of the kami, and mediation of the deity’s blessing to the parishioners.",300435567,300435350,http://vocab.getty.edu/aat/300435350,yes,active,,2026-03-12 16:23:02,occupations,Human Reviewed
Getty Art & Architecture Thesaurus,river gods,AAT:300458816,river gods,skos:Concept,Agents Facet > People (hierarchy name) > people (agents) > <people by occupation> > <people in the humanities> > <people in religion and related occupations> > people in religion > deities > place gods > river gods,river god | dio del fiume,Tutelary gods believed to live in and to preside over a river.,300435289,300458816,http://vocab.getty.edu/aat/300458816,yes,active,,2026-03-12 16:23:02,beliefs,Human Reviewed
Getty Art & Architecture Thesaurus,tutelaries,AAT:300412149,tutelaries,skos:Concept,Agents Facet > People (hierarchy name) > people (agents) > <people by occupation> > <people in the humanities> > <people in religion and related occupations> > people in religion > deities > guardian deities > tutelaries,tutelary,"Deities or supernatural powers who are protectors, guardians, or patrons who watch over a particular person, place, or thing.",300412150,300412149,http://vocab.getty.edu/aat/300412149,yes,active,,2026-03-12 16:23:02,beliefs,Human Reviewed
Getty Art & Architecture Thesaurus,dalai lamas,AAT:300412025,dalai lamas,skos:Concept,Agents Facet > People (hierarchy name) > people (agents) > <people by occupation> > <people in the humanities> > <people in religion and related occupations> > people in religion > clergy > Buddhist clergy > lamas (Buddhist clergy) > dalai lamas,dalai lama | dalae lamas | delli-lamas,Chief Buddhist priests of the Tibetan territories.,300412024,300412025,http://vocab.getty.edu/aat/300412025,yes,active,,2026-03-12 16:23:02,occupations,Human Reviewed
Getty Art & Architecture Thesaurus,bhikkus,AAT:300412027,bhikkus,skos:Concept,Agents Facet > People (hierarchy name) > people (agents) > <people by occupation> > <people in the humanities> > <people in religion and related occupations> > people in religion > clergy > Buddhist clergy > bhikkus,bhikku | bhikkhus,"In Buddhism, dedicated mendicants or religious devotees.",300412026,300412027,http://vocab.getty.edu/aat/300412027,yes,active,,2026-03-12 16:23:02,occupations,Human Reviewed
Getty Art & Architecture Thesaurus,mātṛkās,AAT:300446906,mātṛkās,skos:Concept,Agents Facet > People (hierarchy name) > people (agents) > <people by occupation> > <people in the humanities> > <people in religion and related occupations> > people in religion > deities > goddesses > mother goddesses > mātṛkās,mātṛkā | sapta-mātṛkās,"In Hinduism, mother-goddesses, seven in number.",300412037,300446906,http://vocab.getty.edu/aat/300446906,yes,active,,2026-03-12 16:23:02,beliefs,Human Reviewed
Getty Art & Architecture Thesaurus,world bearers,AAT:300449180,world bearers,skos:Concept,Agents Facet > People (hierarchy name) > people (agents) > <people by occupation> > <people in the humanities> > <people in religion and related occupations> > people in religion > supernatural beings > world bearers,"world bearer | bearers, world | earth bearers",Beings who hold up the weight of the world or planet earth; examples are Atlas in Classical mythology and the Diggajas in Hinduism.,300449179 | 300343850 | 300412072,300449180,http://vocab.getty.edu/aat/300449180,yes,active,,2026-03-12 16:23:02,beliefs,Human Reviewed
Getty Art & Architecture Thesaurus,navagrahas,AAT:300446942,navagrahas,skos:Concept,Agents Facet > People (hierarchy name) > people (agents) > <people by occupation> > <people in the humanities> > <people in religion and related occupations> > people in religion > deities > planetary gods > navagrahas,,"In Hinduism, planetary divinities, nine in number.",300412113,300446942,http://vocab.getty.edu/aat/300446942,yes,active,,2026-03-12 16:23:02,beliefs,Human Reviewed
Getty Art & Architecture Thesaurus,bacchantes,AAT:300379712,bacchantes,skos:Concept,Agents Facet > People (hierarchy name) > people (agents) > <people by occupation> > <people in the humanities> > <people in religion and related occupations> > people in religion > clergy > <ancient Greek and Roman clergy> > bacchantes,bacchante | bacchants | bacchant | maenads,"Priestesses, priests, or votaries of the Roman god Bacchus or the counterpart Greek god Dionysus. Typically a male/female distinction is made through spelling, bacchant vs. bacchante.",300025747,300379712,http://vocab.getty.edu/aat/300379712,yes,active,http://vocab.getty.edu/aat/300379712 | http://www.wikidata.org/entity/Q2878203,2026-03-12 16:23:02,occupations,Human Reviewed
Getty Art & Architecture Thesaurus,archangels,AAT:300412110,archangels,skos:Concept,Agents Facet > People (hierarchy name) > people (agents) > <people by occupation> > <people in the humanities> > <people in religion and related occupations> > people in religion > spirits (beings) > angels (spirits) > archangels,archangel,Angels of the highest rank.,300379004,300412110,http://vocab.getty.edu/aat/300412110,yes,active,,2026-03-12 16:23:02,beliefs,Human Reviewed
Getty Art & Architecture Thesaurus,tlahueliloc,AAT:300458682,tlahueliloc,skos:Concept,Agents Facet > People (hierarchy name) > people (agents) > <people by occupation> > <people in the humanities> > <people in religion and related occupations> > people in religion > spirits (beings) > devils (spirits) > tlahueliloc,,"Describes a malevolent entity that takes the appearance of a person or animal and frightens people. In the early colonial period in Mexico, the term became conflated with the Christian devil.",300379005,300458682,http://vocab.getty.edu/aat/300458682,yes,active,,2026-03-12 16:23:02,beliefs,Human Reviewed
Getty Art & Architecture Thesaurus,angels (spirits),AAT:300379004,angels (spirits),skos:Concept,Agents Facet > People (hierarchy name) > people (agents) > <people by occupation> > <people in the humanities> > <people in religion and related occupations> > people in religion > spirits (beings) > angels (spirits),angel (spirit),"Generic term for ministering spirits or divine messengers known in several theologies, forming an order of spiritual beings superior to man in power and intelligence. In Jewish, Christian, Islamic, and other theologies, the attendants and messengers of the Deity.",300379007,300379004,http://vocab.getty.edu/aat/300379004,yes,active,http://vocab.getty.edu/aat/300379004 | http://www.wikidata.org/entity/Q235113,2026-03-12 16:23:02,beliefs,Human Reviewed
Getty Art & Architecture Thesaurus,naiads,AAT:300380061,naiads,skos:Concept,Agents Facet > People (hierarchy name) > people (agents) > <people by occupation> > <people in the humanities> > <people in religion and related occupations> > people in religion > spirits (beings) > nymphs > naiads,naiad,"Nymphs who preside over bodies of freshwater, including springs, streams, rivers, fountains, and wells.",300379159,300380061,http://vocab.getty.edu/aat/300380061,yes,active,http://vocab.getty.edu/aat/300380061 | http://www.wikidata.org/entity/Q182037,2026-03-12 16:23:02,beliefs,Human Reviewed
Getty Art & Architecture Thesaurus,atua,AAT:300452088,atua,skos:Concept,Agents Facet > People (hierarchy name) > people (agents) > <people by occupation> > <people in the humanities> > <people in religion and related occupations> > people in religion > deities > atua,,"In Polynesian culture, deities, demons, or other supernatural beings.",300343850,300452088,http://vocab.getty.edu/aat/300452088,yes,active,,2026-03-12 16:23:02,beliefs,Human Reviewed
Getty Art & Architecture Thesaurus,earth mothers (deities),AAT:300412036,earth mothers (deities),skos:Concept,Agents Facet > People (hierarchy name) > people (agents) > <people by occupation> > <people in the humanities> > <people in religion and related occupations> > people in religion > deities > goddesses > earth mothers (deities),"earth mother (deity) | mothers, earth","In ancient and modern nonliterate religions, dieties who are eternally fruitful sources of everything. The most archaic form of the earth mother transcends all specificity and sexuality. In later agricultural traditions, she is simply the earth and its fertility.",300343852,300412036,http://vocab.getty.edu/aat/300412036,yes,active,,2026-03-12 16:23:02,beliefs,Human Reviewed
Getty Art & Architecture Thesaurus,guiding bodhisattvas,AAT:300404799,guiding bodhisattvas,skos:Concept,Agents Facet > People (hierarchy name) > people (agents) > <people by occupation> > <people in the humanities> > <people in religion and related occupations> > people in religion > bodhisattvas > guiding bodhisattvas,guiding bodhisattva | yinlu bodhisattva,Bohisattvas who serve as otherworldly guides of souls.,300264360,300404799,http://vocab.getty.edu/aat/300404799,yes,active,,2026-03-12 16:23:02,beliefs,Human Reviewed
Getty Art & Architecture Thesaurus,evangelists,AAT:300025762,evangelists,skos:Concept,Agents Facet > People (hierarchy name) > people (agents) > <people by occupation> > <people in the humanities> > <people in religion and related occupations> > people in religion > preachers > evangelists,evangelist | evangelist's | evangelists' | revivalists,"Those who preach or otherwise spread a religion or religious ideas, usually by speaking but may be in written works. Examples include the writers of the Christian gospels and modern Protestant occasional preachers having no fixed pastoral charge.",300237357,300025762,http://vocab.getty.edu/aat/300025762,yes,active,,2026-03-12 16:23:02,occupations,Human Reviewed
